time_since_previous_min,n_transaction
0,2913877
1,178394
2,125597
3,85892
4,58517
5,39417
6,27262
7,18646
8,13135
9,9140
10,6611
11,4758
12,3403
13,2506
14,2015
15,1480
16,1123
17,873
18,634
19,507
20,391
21,345
22,226
23,206
24,167
25,138
26,109
27,87
28,74
29,62
30,45
31,47
32,36
33,34
34,30
35,26
36,18
37,14
38,13
39,12
40,8
41,16
42,7
43,6
44,10
45,9
46,5
47,3
48,9
49,2
50,4
51,5
52,5
53,8
54,5
55,4
56,6
57,3
58,3
59,2
60,5
61,1
62,1
63,1
64,4
65,5
66,2
67,2
68,4
69,2
70,4
71,2
72,2
73,2
74,1
75,2
76,4
77,3
78,2
79,2
80,1
81,2
82,4
83,5
84,2
85,5
86,4
89,1
90,3
91,2
93,1
94,2
95,4
96,1
97,2
99,2
100,2
101,1
102,1
103,1
104,2
106,2
108,1
112,1
113,1
114,2
115,3
117,1
118,1
119,1
125,2
126,1
129,1
130,1
131,1
140,3
141,1
143,1
146,1
150,1
151,3
153,1
154,1
156,1
158,1
162,1
165,1
166,1
168,3
170,1
173,1
174,1
188,1
191,1
192,1
194,1
195,1
205,1
206,1
207,2
209,1
211,1
214,1
223,1
224,1
227,1
233,1
240,1
247,1
250,1
256,1
269,1
274,1
276,1
291,1
301,1
302,1
306,1
309,1
311,1
315,1
324,1
330,1
338,1
346,1
361,1
365,1
369,2
384,1
392,1
405,1
410,1
447,1
461,1
488,1
509,1
545,1
561,1
580,1
796,1
848,1
