Ring_size,number_key_image
1,12224391
2,707789
3,4496452
4,1486636
5,3287355
6,322846
7,2042694
8,307599
9,64647
10,23143
11,139716
12,4160
13,4991
14,1562
15,2930
16,2686
17,1333
18,1027
19,1717
20,3233
21,30525
22,877
23,1804
24,546
25,1483
26,23947
27,531
28,363
29,405
30,631
31,2193
32,229
33,258
34,166
35,68
36,261
37,133
38,258
39,96
40,750
41,20004
42,81
43,527
44,96
45,181
46,149
47,152
48,68
49,76
50,126
51,2842
52,9
53,53
54,80
55,42
56,228
57,46
58,93
59,32
60,87
61,169
62,23
63,7
64,171
65,52
66,193
67,33
68,2
69,69
70,160
71,430
72,18
73,80
74,3
75,5
76,182
77,133
78,7
79,5
80,206
81,337
82,2
83,38
84,2
85,92
86,29
87,298
88,23
89,5
90,13
91,188
92,111
93,21
94,63
95,21
96,4
97,2
98,315
99,3
100,114
101,2010
102,2
103,1
107,4
108,1
109,5
111,10
112,3
113,1
114,1
116,1
120,19
121,33
122,1
123,7
124,4
126,41
128,7
129,1
130,1
131,10
132,4
133,2
134,1
141,33
144,4
145,1
148,61
151,24
154,15
155,2
156,1
163,1
166,1
167,1
168,2
169,5
171,1
176,1
177,1
181,4
191,1
197,1
199,2
200,1
201,84
203,1
211,9
221,19
222,1
223,2
231,2
242,1
248,7
250,1
255,2
256,10
297,6
298,1
301,25
322,4
334,3
370,1
397,1
401,6
420,2
444,1
501,6
556,2
600,1
640,2
668,2
697,1
701,1
761,1
771,1
790,2
851,1
852,1
877,2
889,2
970,2
982,2
988,4
999,2
1000,6
1002,4
1024,1
1112,3
1235,2
1270,1
1281,1
1334,1
1337,2
1338,7
1433,1
1500,2
1667,1
1670,1
1778,1
1971,1
2135,1
2334,1
2666,1
2667,2
2925,1
2999,2
3000,10
3223,1
3232,1
4501,1
