,ratio,map_known_distribution,map_unknown_distribution,guess_newest
0,1.0,0.10462984567181094,0.1181627279090697,0.09353021565947801
1,1.1,0.5599466844385205,0.21656114628457182,0.17630789736754415
2,1.2,0.7015298470152985,0.34606539346065396,0.23820951238209512
3,1.3,0.7463417886070465,0.44268524382520585,0.3225559148028399
4,1.4,0.8320798668885191,0.5723460898502496,0.4642595673876872
5,1.5,0.8378620483726485,0.6416177300023225,0.5847184897647723
6,1.6,0.892869043652116,0.710163278907031,0.6196601132955681
7,1.7,0.8831155845887215,0.7425343287561659,0.6592787628316225
8,1.8,0.9246068763326226,0.7879464285714286,0.7385727611940298
9,1.9,0.9403581175530853,0.8129867536444119,0.7883245689942089
